TrialIndex,TargetRule,Choice,Reward,MAP_GoRight,MAP_GoLeft,Precision,CumulativeRightChoice,CumulativeLeftChoice,CumulativeChoiceDifference,CumulativeReward
1,go right 1,left,0,0.0,0.0,0,0,1,-1,0
2,go right 1,right,1,0.0,0.0,0,1,1,0,1
3,go right 1,right,1,0.0,0.0,0,2,1,1,2
4,go right 1,right,1,0.0,0.0,0,3,1,2,3
5,go right 1,right,1,0.0,0.0,0,4,1,3,4
6,go right 1,left,0,0.0,0.0,0,4,2,2,4
7,go right 1,right,1,0.0,0.0,0,5,2,3,5
8,go right 1,right,1,0.0,0.0,0,6,2,4,6
9,go right 1,right,1,0.0,0.0,0,7,2,5,7
10,go right 1,left,0,0.0,0.0,0,7,3,4,7
11,go right 1,right,1,0.0,0.0,0,8,3,5,8
12,go right 1,left,0,0.0,0.0,0,8,4,4,8
13,go right 1,right,1,0.0,0.0,0,9,4,5,9
14,go right 1,right,1,0.0,0.0,0,10,4,6,10
15,go right 1,right,1,0.0,0.0,0,11,4,7,11
16,go right 1,right,1,0.0,0.0,0,12,4,8,12
17,go right 1,right,1,0.0,0.0,0,13,4,9,13
18,go right 1,right,1,0.0,0.0,0,14,4,10,14
19,go right 1,right,1,0.0,0.0,0,15,4,11,15
20,go right 1,right,1,0.0,0.0,0,16,4,12,16
21,go right 1,right,1,0.0,0.0,0,17,4,13,17
22,go right 1,right,1,0.0,0.0,0,18,4,14,18
23,go left 1,right,0,0.999,0.0,0,19,4,15,18
24,go left 1,right,0,0.9440000000000001,0.0,0,20,4,16,18
25,go left 1,right,0,0.895,0.0,0,21,4,17,18
26,go left 1,right,0,0.85,0.0,0,22,4,18,18
27,go left 1,right,0,0.81,0.0,0,23,4,19,18
28,go left 1,right,0,0.773,0.0,0,24,4,20,18
29,go left 1,right,0,0.739,0.0,0,25,4,21,18
30,go left 1,right,0,0.708,0.0,0,26,4,22,18
31,go left 1,right,0,0.68,0.0,0,27,4,23,18
32,go left 1,right,0,0.654,0.0,0,28,4,24,18
33,go left 1,right,0,0.63,0.0,0,29,4,25,18
34,go left 1,right,0,0.607,0.0,0,30,4,26,18
35,go left 1,right,0,0.586,0.0,0,31,4,27,18
36,go left 1,right,0,0.5670000000000001,0.0,0,32,4,28,18
37,go left 1,right,0,0.548,0.0,0,33,4,29,18
38,go left 1,left,1,0.548,0.0,0,33,5,28,19
39,go left 1,right,0,0.531,0.0,0,34,5,29,19
40,go left 1,right,0,0.515,0.0,0,35,5,30,19
41,go left 1,right,0,0.5,0.0,0,36,5,31,19
42,go left 1,left,1,0.5,0.25,0,36,6,30,20
43,go left 1,right,0,0.486,0.25,0,37,6,31,20
44,go left 1,left,1,0.486,0.4,0,37,7,30,21
45,go left 1,right,0,0.47200000000000003,0.4,0,38,7,31,21
46,go left 1,left,1,0.47200000000000003,0.5,0,38,8,30,22
47,go left 1,left,1,0.47200000000000003,0.5710000000000001,0,38,9,29,23
48,go left 1,right,0,0.459,0.5710000000000001,0,39,9,30,23
49,go left 1,left,1,0.459,0.625,0,39,10,29,24
50,go left 1,left,1,0.459,0.667,0,39,11,28,25
51,go left 1,left,1,0.459,0.7000000000000001,0,39,12,27,26
52,go left 1,left,1,0.459,0.727,0,39,13,26,27
53,go left 1,left,1,0.459,0.75,0,39,14,25,28
54,go left 1,left,1,0.459,0.769,0,39,15,24,29
55,go left 1,right,0,0.447,0.769,0,40,15,25,29
56,go left 1,left,1,0.447,0.786,0,40,16,24,30
57,go left 1,left,1,0.447,0.8,0,40,17,23,31
58,go left 1,left,1,0.447,0.812,0,40,18,22,32
59,go left 1,left,1,0.447,0.8240000000000001,0,40,19,21,33
60,go left 1,left,1,0.447,0.833,0,40,20,20,34
61,go left 1,left,1,0.447,0.842,0,40,21,19,35
62,go left 1,left,1,0.447,0.85,0,40,22,18,36
63,go left 1,left,1,0.447,0.857,0,40,23,17,37
64,go left 1,left,1,0.447,0.864,0,40,24,16,38
65,go left 1,left,1,0.447,0.87,0,40,25,15,39
66,go right 2,left,0,0.447,0.833,0,40,26,14,39
67,go right 2,left,0,0.447,0.8,0,40,27,13,39
68,go right 2,right,1,0.462,0.8,0,41,27,14,40
69,go right 2,left,0,0.462,0.769,0,41,28,13,40
70,go right 2,left,0,0.462,0.741,0,41,29,12,40
71,go right 2,left,0,0.462,0.714,0,41,30,11,40
72,go right 2,left,0,0.462,0.6900000000000001,0,41,31,10,40
73,go right 2,left,0,0.462,0.667,0,41,32,9,40
74,go right 2,left,0,0.462,0.645,0,41,33,8,40
75,go right 2,left,0,0.462,0.625,0,41,34,7,40
76,go right 2,left,0,0.462,0.606,0,41,35,6,40
77,go right 2,left,0,0.462,0.588,0,41,36,5,40
78,go right 2,left,0,0.462,0.5710000000000001,0,41,37,4,40
79,go right 2,right,1,0.47500000000000003,0.5710000000000001,0,42,37,5,41
80,go right 2,left,0,0.47500000000000003,0.556,0,42,38,4,41
81,go right 2,right,1,0.488,0.556,0,43,38,5,42
82,go right 2,left,0,0.488,0.541,0,43,39,4,42
83,go right 2,left,0,0.488,0.526,0,43,40,3,42
84,go right 2,right,1,0.5,0.526,0,44,40,4,43
85,go right 2,left,0,0.5,0.513,0,44,41,3,43
86,go right 2,right,1,0.512,0.513,0,45,41,4,44
87,go right 2,right,1,0.523,0.513,0,46,41,5,45
88,go right 2,right,1,0.533,0.513,0,47,41,6,46
89,go right 2,left,0,0.533,0.5,0,47,42,5,46
90,go right 2,right,1,0.543,0.5,0,48,42,6,47
91,go right 2,right,1,0.553,0.5,0,49,42,7,48
92,go right 2,right,1,0.562,0.5,0,50,42,8,49
93,go right 2,right,1,0.5710000000000001,0.5,0,51,42,9,50
94,go right 2,right,1,0.58,0.5,0,52,42,10,51
95,go right 2,right,1,0.588,0.5,0,53,42,11,52
96,go right 2,left,0,0.588,0.488,0,53,43,10,52
97,go right 2,right,1,0.596,0.488,0,54,43,11,53
98,go right 2,left,0,0.596,0.47600000000000003,0,54,44,10,53
99,go right 2,right,1,0.604,0.47600000000000003,0,55,44,11,54
100,go right 2,right,1,0.611,0.47600000000000003,0,56,44,12,55
101,go right 2,left,0,0.611,0.465,0,56,45,11,55
102,go right 2,right,1,0.618,0.465,0,57,45,12,56
103,go right 2,right,1,0.625,0.465,0,58,45,13,57
104,go right 2,right,1,0.632,0.465,0,59,45,14,58
105,go right 2,right,1,0.638,0.465,0,60,45,15,59
106,go right 2,right,1,0.644,0.465,0,61,45,16,60
107,go right 2,left,0,0.644,0.455,0,61,46,15,60
108,go right 2,right,1,0.65,0.455,0,62,46,16,61
109,go right 2,left,0,0.65,0.444,0,62,47,15,61
110,go right 2,right,1,0.656,0.444,0,63,47,16,62
111,go right 2,right,1,0.661,0.444,0,64,47,17,63
112,go right 2,right,1,0.667,0.444,0,65,47,18,64
113,go right 2,right,1,0.672,0.444,0,66,47,19,65
114,go right 2,right,1,0.677,0.444,0,67,47,20,66
115,go right 2,left,0,0.677,0.435,0,67,48,19,66
