Decay Factor,Noise Level,Sampling Algorithm,Rule,Trials to Learn,Overtrained
0.5,0.1,Thompson,go right 1,27,True
0.5,0.1,Thompson,go right 1,11,True
0.5,0.1,Thompson,go right 1,18,True
0.5,0.1,Thompson,go right 1,22,True
0.5,0.1,Thompson,go right 1,18,True
0.5,0.1,Thompson,go right 1,15,True
0.5,0.1,Thompson,go right 1,13,True
0.5,0.1,Thompson,go right 1,21,True
0.5,0.1,Thompson,go right 1,13,True
0.5,0.1,Thompson,go right 1,16,True
0.5,0.1,Thompson,go right 1,15,True
0.5,0.1,Thompson,go right 1,20,True
0.5,0.1,Thompson,go right 1,20,True
0.5,0.1,Thompson,go right 1,13,True
0.5,0.1,Thompson,go right 1,15,True
0.5,0.1,Thompson,go right 1,23,True
0.5,0.1,Thompson,go right 1,15,True
0.5,0.1,Thompson,go right 1,23,True
0.5,0.1,Thompson,go right 1,20,True
0.5,0.1,Thompson,go right 1,12,True
0.5,0.1,Thompson,go right 1,19,True
0.5,0.1,Thompson,go right 1,13,True
0.5,0.1,Thompson,go right 1,11,True
0.5,0.1,Thompson,go right 1,13,True
0.5,0.1,Thompson,go right 1,16,True
0.5,0.1,Thompson,go right 1,21,True
0.5,0.1,Thompson,go right 1,26,True
0.5,0.1,Thompson,go right 1,16,True
0.5,0.1,Thompson,go right 1,21,True
0.5,0.1,Thompson,go right 1,21,True
0.5,0.1,Thompson,go right 1,19,True
0.5,0.1,Thompson,go right 1,14,True
0.5,0.1,Thompson,go right 1,21,True
0.5,0.1,Thompson,go right 1,21,True
0.5,0.1,Thompson,go right 1,15,True
0.5,0.1,Thompson,go right 1,18,True
0.5,0.1,Thompson,go right 1,14,True
0.5,0.1,Thompson,go right 1,15,True
0.5,0.1,Thompson,go right 1,10,True
0.5,0.1,Thompson,go right 1,17,True
0.5,0.1,Thompson,go right 1,19,True
0.5,0.1,Thompson,go right 1,17,True
0.5,0.1,Thompson,go right 1,10,True
0.5,0.1,Thompson,go right 1,16,True
0.5,0.1,Thompson,go right 1,27,True
0.5,0.1,Thompson,go right 1,11,True
0.5,0.1,Thompson,go right 1,13,True
0.5,0.1,Thompson,go right 1,14,True
0.5,0.1,Thompson,go right 1,14,True
0.5,0.1,Thompson,go right 1,13,True
0.5,0.1,Thompson,go left 1,97,True
0.5,0.1,Thompson,go left 1,70,True
0.5,0.1,Thompson,go left 1,130,True
0.5,0.1,Thompson,go left 1,107,True
0.5,0.1,Thompson,go left 1,110,True
0.5,0.1,Thompson,go left 1,95,True
0.5,0.1,Thompson,go left 1,116,True
0.5,0.1,Thompson,go left 1,95,True
0.5,0.1,Thompson,go left 1,106,True
0.5,0.1,Thompson,go left 1,93,True
0.5,0.1,Thompson,go left 1,102,True
0.5,0.1,Thompson,go left 1,114,True
0.5,0.1,Thompson,go left 1,112,True
0.5,0.1,Thompson,go left 1,90,True
0.5,0.1,Thompson,go left 1,107,True
0.5,0.1,Thompson,go left 1,108,True
0.5,0.1,Thompson,go left 1,113,True
0.5,0.1,Thompson,go left 1,97,True
0.5,0.1,Thompson,go left 1,146,True
0.5,0.1,Thompson,go left 1,72,True
0.5,0.1,Thompson,go left 1,82,True
0.5,0.1,Thompson,go left 1,112,True
0.5,0.1,Thompson,go left 1,80,True
0.5,0.1,Thompson,go left 1,101,True
0.5,0.1,Thompson,go left 1,129,True
0.5,0.1,Thompson,go left 1,115,True
0.5,0.1,Thompson,go left 1,103,True
0.5,0.1,Thompson,go left 1,79,True
0.5,0.1,Thompson,go left 1,83,True
0.5,0.1,Thompson,go left 1,100,True
0.5,0.1,Thompson,go left 1,104,True
0.5,0.1,Thompson,go left 1,97,True
0.5,0.1,Thompson,go left 1,101,True
0.5,0.1,Thompson,go left 1,101,True
0.5,0.1,Thompson,go left 1,123,True
0.5,0.1,Thompson,go left 1,96,True
0.5,0.1,Thompson,go left 1,76,True
0.5,0.1,Thompson,go left 1,79,True
0.5,0.1,Thompson,go left 1,89,True
0.5,0.1,Thompson,go left 1,98,True
0.5,0.1,Thompson,go left 1,135,True
0.5,0.1,Thompson,go left 1,91,True
0.5,0.1,Thompson,go left 1,95,True
0.5,0.1,Thompson,go left 1,92,True
0.5,0.1,Thompson,go left 1,112,True
0.5,0.1,Thompson,go left 1,92,True
0.5,0.1,Thompson,go left 1,113,True
0.5,0.1,Thompson,go left 1,91,True
0.5,0.1,Thompson,go left 1,95,True
0.5,0.1,Thompson,go left 1,90,True
0.5,0.1,Thompson,go right 2,105,True
0.5,0.1,Thompson,go right 2,137,True
0.5,0.1,Thompson,go right 2,223,True
0.5,0.1,Thompson,go right 2,181,True
0.5,0.1,Thompson,go right 2,189,True
0.5,0.1,Thompson,go right 2,126,True
0.5,0.1,Thompson,go right 2,180,True
0.5,0.1,Thompson,go right 2,161,True
0.5,0.1,Thompson,go right 2,262,True
0.5,0.1,Thompson,go right 2,165,True
0.5,0.1,Thompson,go right 2,175,True
0.5,0.1,Thompson,go right 2,205,True
0.5,0.1,Thompson,go right 2,233,True
0.5,0.1,Thompson,go right 2,139,True
0.5,0.1,Thompson,go right 2,152,True
0.5,0.1,Thompson,go right 2,136,True
0.5,0.1,Thompson,go right 2,205,True
0.5,0.1,Thompson,go right 2,162,True
0.5,0.1,Thompson,go right 2,259,True
0.5,0.1,Thompson,go right 2,87,True
0.5,0.1,Thompson,go right 2,82,True
0.5,0.1,Thompson,go right 2,230,True
0.5,0.1,Thompson,go right 2,117,True
0.5,0.1,Thompson,go right 2,210,True
0.5,0.1,Thompson,go right 2,239,True
0.5,0.1,Thompson,go right 2,150,True
0.5,0.1,Thompson,go right 2,208,True
0.5,0.1,Thompson,go right 2,109,True
0.5,0.1,Thompson,go right 2,136,True
0.5,0.1,Thompson,go right 2,173,True
0.5,0.1,Thompson,go right 2,184,True
0.5,0.1,Thompson,go right 2,167,True
0.5,0.1,Thompson,go right 2,152,True
0.5,0.1,Thompson,go right 2,150,True
0.5,0.1,Thompson,go right 2,157,True
0.5,0.1,Thompson,go right 2,114,True
0.5,0.1,Thompson,go right 2,123,True
0.5,0.1,Thompson,go right 2,149,True
0.5,0.1,Thompson,go right 2,179,True
0.5,0.1,Thompson,go right 2,176,True
0.5,0.1,Thompson,go right 2,193,True
0.5,0.1,Thompson,go right 2,165,True
0.5,0.1,Thompson,go right 2,159,True
0.5,0.1,Thompson,go right 2,184,True
0.5,0.1,Thompson,go right 2,182,True
0.5,0.1,Thompson,go right 2,154,True
0.5,0.1,Thompson,go right 2,176,True
0.5,0.1,Thompson,go right 2,160,True
0.5,0.1,Thompson,go right 2,140,True
0.5,0.1,Thompson,go right 2,97,True
0.5,0.1,Thompson,go left 2,168,True
0.5,0.1,Thompson,go left 2,178,True
0.5,0.1,Thompson,go left 2,260,True
0.5,0.1,Thompson,go left 2,252,True
0.5,0.1,Thompson,go left 2,279,True
0.5,0.1,Thompson,go left 2,192,True
0.5,0.1,Thompson,go left 2,267,True
0.5,0.1,Thompson,go left 2,293,True
0.5,0.1,Thompson,go left 2,306,True
0.5,0.1,Thompson,go left 2,290,True
0.5,0.1,Thompson,go left 2,282,True
0.5,0.1,Thompson,go left 2,275,True
0.5,0.1,Thompson,go left 2,268,True
0.5,0.1,Thompson,go left 2,247,True
0.5,0.1,Thompson,go left 2,189,True
0.5,0.1,Thompson,go left 2,219,True
0.5,0.1,Thompson,go left 2,259,True
0.5,0.1,Thompson,go left 2,267,True
0.5,0.1,Thompson,go left 2,288,True
0.5,0.1,Thompson,go left 2,186,True
0.5,0.1,Thompson,go left 2,139,True
0.5,0.1,Thompson,go left 2,303,True
0.5,0.1,Thompson,go left 2,163,True
0.5,0.1,Thompson,go left 2,243,True
0.5,0.1,Thompson,go left 2,330,True
0.5,0.1,Thompson,go left 2,185,True
0.5,0.1,Thompson,go left 2,236,True
0.5,0.1,Thompson,go left 2,180,True
0.5,0.1,Thompson,go left 2,208,True
0.5,0.1,Thompson,go left 2,261,True
0.5,0.1,Thompson,go left 2,199,True
0.5,0.1,Thompson,go left 2,281,True
0.5,0.1,Thompson,go left 2,204,True
0.5,0.1,Thompson,go left 2,200,True
0.5,0.1,Thompson,go left 2,266,True
0.5,0.1,Thompson,go left 2,200,True
0.5,0.1,Thompson,go left 2,206,True
0.5,0.1,Thompson,go left 2,177,True
0.5,0.1,Thompson,go left 2,251,True
0.5,0.1,Thompson,go left 2,165,True
0.5,0.1,Thompson,go left 2,209,True
0.5,0.1,Thompson,go left 2,266,True
0.5,0.1,Thompson,go left 2,197,True
0.5,0.1,Thompson,go left 2,277,True
0.5,0.1,Thompson,go left 2,262,True
0.5,0.1,Thompson,go left 2,217,True
0.5,0.1,Thompson,go left 2,305,True
0.5,0.1,Thompson,go left 2,248,True
0.5,0.1,Thompson,go left 2,144,True
0.5,0.1,Thompson,go left 2,169,True
0.5,0.2,Thompson,go right 1,25,True
0.5,0.2,Thompson,go right 1,18,True
0.5,0.2,Thompson,go right 1,17,True
0.5,0.2,Thompson,go right 1,16,True
0.5,0.2,Thompson,go right 1,17,True
0.5,0.2,Thompson,go right 1,17,True
0.5,0.2,Thompson,go right 1,28,True
0.5,0.2,Thompson,go right 1,18,True
0.5,0.2,Thompson,go right 1,14,True
0.5,0.2,Thompson,go right 1,28,True
0.5,0.2,Thompson,go right 1,21,True
0.5,0.2,Thompson,go right 1,12,True
0.5,0.2,Thompson,go right 1,14,True
0.5,0.2,Thompson,go right 1,29,True
0.5,0.2,Thompson,go right 1,22,True
0.5,0.2,Thompson,go right 1,33,True
0.5,0.2,Thompson,go right 1,23,True
0.5,0.2,Thompson,go right 1,24,True
0.5,0.2,Thompson,go right 1,12,True
0.5,0.2,Thompson,go right 1,10,True
0.5,0.2,Thompson,go right 1,13,True
0.5,0.2,Thompson,go right 1,22,True
0.5,0.2,Thompson,go right 1,15,True
0.5,0.2,Thompson,go right 1,18,True
0.5,0.2,Thompson,go right 1,23,True
0.5,0.2,Thompson,go right 1,18,True
0.5,0.2,Thompson,go right 1,15,True
0.5,0.2,Thompson,go right 1,23,True
0.5,0.2,Thompson,go right 1,13,True
0.5,0.2,Thompson,go right 1,23,True
0.5,0.2,Thompson,go right 1,16,True
0.5,0.2,Thompson,go right 1,16,True
0.5,0.2,Thompson,go right 1,12,True
0.5,0.2,Thompson,go right 1,30,True
0.5,0.2,Thompson,go right 1,22,True
0.5,0.2,Thompson,go right 1,19,True
0.5,0.2,Thompson,go right 1,19,True
0.5,0.2,Thompson,go right 1,28,True
0.5,0.2,Thompson,go right 1,21,True
0.5,0.2,Thompson,go right 1,24,True
0.5,0.2,Thompson,go right 1,22,True
0.5,0.2,Thompson,go right 1,31,True
0.5,0.2,Thompson,go right 1,19,True
0.5,0.2,Thompson,go right 1,20,True
0.5,0.2,Thompson,go right 1,21,True
0.5,0.2,Thompson,go right 1,24,True
0.5,0.2,Thompson,go right 1,29,True
0.5,0.2,Thompson,go right 1,32,True
0.5,0.2,Thompson,go right 1,19,True
0.5,0.2,Thompson,go right 1,26,True
0.5,0.2,Thompson,go left 1,133,True
0.5,0.2,Thompson,go left 1,93,True
0.5,0.2,Thompson,go left 1,137,True
0.5,0.2,Thompson,go left 1,164,True
0.5,0.2,Thompson,go left 1,155,True
0.5,0.2,Thompson,go left 1,209,True
0.5,0.2,Thompson,go left 1,98,True
0.5,0.2,Thompson,go left 1,102,True
0.5,0.2,Thompson,go left 1,128,True
0.5,0.2,Thompson,go left 1,110,True
0.5,0.2,Thompson,go left 1,96,True
0.5,0.2,Thompson,go left 1,115,True
0.5,0.2,Thompson,go left 1,142,True
0.5,0.2,Thompson,go left 1,135,True
0.5,0.2,Thompson,go left 1,114,True
0.5,0.2,Thompson,go left 1,157,True
0.5,0.2,Thompson,go left 1,171,True
0.5,0.2,Thompson,go left 1,159,True
0.5,0.2,Thompson,go left 1,168,True
0.5,0.2,Thompson,go left 1,126,True
0.5,0.2,Thompson,go left 1,134,True
0.5,0.2,Thompson,go left 1,141,True
0.5,0.2,Thompson,go left 1,108,True
0.5,0.2,Thompson,go left 1,117,True
0.5,0.2,Thompson,go left 1,114,True
0.5,0.2,Thompson,go left 1,149,True
0.5,0.2,Thompson,go left 1,106,True
0.5,0.2,Thompson,go left 1,124,True
0.5,0.2,Thompson,go left 1,95,True
0.5,0.2,Thompson,go left 1,140,True
0.5,0.2,Thompson,go left 1,119,True
0.5,0.2,Thompson,go left 1,131,True
0.5,0.2,Thompson,go left 1,115,True
0.5,0.2,Thompson,go left 1,131,True
0.5,0.2,Thompson,go left 1,127,True
0.5,0.2,Thompson,go left 1,154,True
0.5,0.2,Thompson,go left 1,154,True
0.5,0.2,Thompson,go left 1,176,True
0.5,0.2,Thompson,go left 1,110,True
0.5,0.2,Thompson,go left 1,135,True
0.5,0.2,Thompson,go left 1,161,True
0.5,0.2,Thompson,go left 1,140,True
0.5,0.2,Thompson,go left 1,98,True
0.5,0.2,Thompson,go left 1,141,True
0.5,0.2,Thompson,go left 1,129,True
0.5,0.2,Thompson,go left 1,150,True
0.5,0.2,Thompson,go left 1,123,True
0.5,0.2,Thompson,go left 1,163,True
0.5,0.2,Thompson,go left 1,157,True
0.5,0.2,Thompson,go left 1,147,True
0.5,0.2,Thompson,go right 2,200,True
0.5,0.2,Thompson,go right 2,192,True
0.5,0.2,Thompson,go right 2,236,True
0.5,0.2,Thompson,go right 2,229,True
0.5,0.2,Thompson,go right 2,293,True
0.5,0.2,Thompson,go right 2,251,True
0.5,0.2,Thompson,go right 2,309,True
0.5,0.2,Thompson,go right 2,152,True
0.5,0.2,Thompson,go right 2,217,True
0.5,0.2,Thompson,go right 2,277,True
0.5,0.2,Thompson,go right 2,133,True
0.5,0.2,Thompson,go right 2,213,True
0.5,0.2,Thompson,go right 2,311,True
0.5,0.2,Thompson,go right 2,201,True
0.5,0.2,Thompson,go right 2,176,True
0.5,0.2,Thompson,go right 2,174,True
0.5,0.2,Thompson,go right 2,328,True
0.5,0.2,Thompson,go right 2,269,True
0.5,0.2,Thompson,go right 2,244,True
0.5,0.2,Thompson,go right 2,266,True
0.5,0.2,Thompson,go right 2,198,True
0.5,0.2,Thompson,go right 2,232,True
0.5,0.2,Thompson,go right 2,153,True
0.5,0.2,Thompson,go right 2,251,True
0.5,0.2,Thompson,go right 2,192,True
0.5,0.2,Thompson,go right 2,204,True
0.5,0.2,Thompson,go right 2,258,True
0.5,0.2,Thompson,go right 2,288,True
0.5,0.2,Thompson,go right 2,260,True
0.5,0.2,Thompson,go right 2,188,True
0.5,0.2,Thompson,go right 2,243,True
0.5,0.2,Thompson,go right 2,235,True
0.5,0.2,Thompson,go right 2,188,True
0.5,0.2,Thompson,go right 2,229,True
0.5,0.2,Thompson,go right 2,203,True
0.5,0.2,Thompson,go right 2,224,True
0.5,0.2,Thompson,go right 2,300,True
0.5,0.2,Thompson,go right 2,330,True
0.5,0.2,Thompson,go right 2,180,True
0.5,0.2,Thompson,go right 2,251,True
0.5,0.2,Thompson,go right 2,199,True
0.5,0.2,Thompson,go right 2,178,True
0.5,0.2,Thompson,go right 2,169,True
0.5,0.2,Thompson,go right 2,238,True
0.5,0.2,Thompson,go right 2,225,True
0.5,0.2,Thompson,go right 2,299,True
0.5,0.2,Thompson,go right 2,295,True
0.5,0.2,Thompson,go right 2,261,True
0.5,0.2,Thompson,go right 2,255,True
0.5,0.2,Thompson,go right 2,248,True
0.5,0.2,Thompson,go left 2,352,True
0.5,0.2,Thompson,go left 2,377,True
0.5,0.2,Thompson,go left 2,440,True
0.5,0.2,Thompson,go left 2,238,True
0.5,0.2,Thompson,go left 2,515,True
0.5,0.2,Thompson,go left 2,235,True
0.5,0.2,Thompson,go left 2,525,True
0.5,0.2,Thompson,go left 2,326,True
0.5,0.2,Thompson,go left 2,432,True
0.5,0.2,Thompson,go left 2,292,True
0.5,0.2,Thompson,go left 2,255,True
0.5,0.2,Thompson,go left 2,216,True
0.5,0.2,Thompson,go left 2,369,True
0.5,0.2,Thompson,go left 2,382,True
0.5,0.2,Thompson,go left 2,301,True
0.5,0.2,Thompson,go left 2,119,True
0.5,0.2,Thompson,go left 2,432,True
0.5,0.2,Thompson,go left 2,398,True
0.5,0.2,Thompson,go left 2,264,True
0.5,0.2,Thompson,go left 2,508,True
0.5,0.2,Thompson,go left 2,381,True
0.5,0.2,Thompson,go left 2,309,True
0.5,0.2,Thompson,go left 2,291,True
0.5,0.2,Thompson,go left 2,494,True
0.5,0.2,Thompson,go left 2,219,True
0.5,0.2,Thompson,go left 2,341,True
0.5,0.2,Thompson,go left 2,396,True
0.5,0.2,Thompson,go left 2,404,True
0.5,0.2,Thompson,go left 2,434,True
0.5,0.2,Thompson,go left 2,280,True
0.5,0.2,Thompson,go left 2,390,True
0.5,0.2,Thompson,go left 2,255,True
0.5,0.2,Thompson,go left 2,191,True
0.5,0.2,Thompson,go left 2,381,True
0.5,0.2,Thompson,go left 2,218,True
0.5,0.2,Thompson,go left 2,386,True
0.5,0.2,Thompson,go left 2,491,True
0.5,0.2,Thompson,go left 2,479,True
0.5,0.2,Thompson,go left 2,241,True
0.5,0.2,Thompson,go left 2,404,True
0.5,0.2,Thompson,go left 2,219,True
0.5,0.2,Thompson,go left 2,307,True
0.5,0.2,Thompson,go left 2,301,True
0.5,0.2,Thompson,go left 2,356,True
0.5,0.2,Thompson,go left 2,298,True
0.5,0.2,Thompson,go left 2,467,True
0.5,0.2,Thompson,go left 2,354,True
0.5,0.2,Thompson,go left 2,374,True
0.5,0.2,Thompson,go left 2,425,True
0.5,0.2,Thompson,go left 2,457,True
0.5,0.3,Thompson,go right 1,28,True
0.5,0.3,Thompson,go right 1,15,True
0.5,0.3,Thompson,go right 1,30,True
0.5,0.3,Thompson,go right 1,14,True
0.5,0.3,Thompson,go right 1,15,True
0.5,0.3,Thompson,go right 1,27,True
0.5,0.3,Thompson,go right 1,17,True
0.5,0.3,Thompson,go right 1,34,True
0.5,0.3,Thompson,go right 1,28,True
0.5,0.3,Thompson,go right 1,29,True
0.5,0.3,Thompson,go right 1,22,True
0.5,0.3,Thompson,go right 1,22,True
0.5,0.3,Thompson,go right 1,27,True
0.5,0.3,Thompson,go right 1,18,True
0.5,0.3,Thompson,go right 1,24,True
0.5,0.3,Thompson,go right 1,12,True
0.5,0.3,Thompson,go right 1,32,True
0.5,0.3,Thompson,go right 1,13,True
0.5,0.3,Thompson,go right 1,29,True
0.5,0.3,Thompson,go right 1,28,True
0.5,0.3,Thompson,go right 1,18,True
0.5,0.3,Thompson,go right 1,13,True
0.5,0.3,Thompson,go right 1,19,True
0.5,0.3,Thompson,go right 1,23,True
0.5,0.3,Thompson,go right 1,20,True
0.5,0.3,Thompson,go right 1,13,True
0.5,0.3,Thompson,go right 1,26,True
